ha,color,word,meaning
Key Phrases - Talk about things you do,,Nons mangeons un croissant.,We are eating a croissant.
Key Phrases - Talk about things you do,,J'étudie la musique.,I am studying music.
Key Phrases - Talk about things you do,,Tu aimes le chocolat?,Do you like chocolate?
Key Phrases - Talk about things you do,,Nous allons au cinéma.,We go to the cinema.
Key Phrases - Talk about things you do,,Tu vas à l'école?,Are you going to school?
Key Phrases - Talk about things you do,,"Non, je vais au parc.","No, I'm going to the park."
Tip - Au wow!,,Tu vas au restaurant.,You go to the restaurant.
Tip - Au wow!,,Elle va au zoo.,She goes to the zoo.
Radio: Reading Habits - Lily and Strangers,,"Bonjour, je m'appelle Emma. Nous sommes français et nous habitons en France.","Hello, my name is Emma. We are French and we live in France."
Radio: Reading Habits - Lily and Strangers,,Nous aimons beaucoup lire.,We like reading a lot.
Radio: Reading Habits - Lily and Strangers,,Je veux lire un livre au parc.,I want to read a book in the park.
Radio: Reading Habits - Lily and Strangers,,Après nous allons au cinéma.,"After, we are going to the cinema."
Radio: Reading Habits - Lily and Strangers,,C'est une bonne journée.,It's a good day.
Radio: Bus to the Park - Late Nights with Lin,,Bonjour. Je m'appelle Paul. Je vais au travail tous les jours.,Hello. My name is Paul. I go to work every day.
Radio: Bus to the Park - Late Nights with Lin,,Je vais au travail en bus.,I go to work by bus.
Radio: Bus to the Park - Late Nights with Lin,,"Après, je vais au parc en bus aussi.","Afterwards, I'm going to the park by bus too."
Radio: Bus to the Park - Late Nights with Lin,,Le parc est près d'une boulangerie.,The park is near a bakery.
Radio: Bus to the Park - Late Nights with Lin,,Nous aimons la boulangerie.,We love the bakery.
Speak: Ask About Locations,,Habitons-nous à Paris?,Do we live in Paris?
Speak: Ask About Locations,,"Oui, nous habitons à Paris.","Yes, we live in Paris."
Speak: Ask About Locations,,Habitons-nous à Montréal?,Do we live in Montreal?
Speak: Ask About Locations,,"Oui, nous habitons à Montréeal.","Yes, we live in Montreal."
Story: I'm Tired,,Je suis fatigué,I am tired.
Story: I'm Tired,,Nous allons au parc? au zoo?,Shall we go to the park? to the zoo?
Story: I'm Tired,,Je suis fatigué.,I'm tired.
Story: I'm Tired,,Nous allons au parc en métro?,Are we going to the park by subway?
Story: I'm Tired,,Et à la boulangerie?,And at the bakery?
Story: I'm Tired,,J'aime les croissants...,I like croissants.
Story: I'm Tired,,Ah! Nous mangeons un croissant au parc!,Ah! We are eating a croissant in the park!
Radio: Secret Rendezvous - Lucy is Listening,,"Bonjour Paul, comment ça va?","Hello Paul, how are you?"
Radio: Secret Rendezvous - Lucy is Listening,,Bonjour Alice ça va bien. Nous allons au parc?,Hello Alice how are you. We are going to the park?
Radio: Secret Rendezvous - Lucy is Listening,,"Non, je vais au restaurant.","No, I'm going to the restaurant."
Radio: Secret Rendezvous - Lucy is Listening,,"Ah, j'aime les restaurants. Tu veux une pizza?","Ah, I like restaurants. Do you want a pizza?"
Radio: Secret Rendezvous - Lucy is Listening,,"Oui, j'aime beaucoup la pizza.","Yes, I like pizza a lot."
Radio: Secret Rendezvous - Lucy is Listening,,"Parfait, allons au restaurant ensemble.","Perfect, let's go to the restaurant together."
Radio: Music and the Park - Lily and Strangers,,"Bonjour, je m'appelle Alice. J'aime la musique.","Hello, my name is Alice. I like music."
Radio: Music and the Park - Lily and Strangers,,J'étudie la musique à l'école.,I study music at school.
Radio: Music and the Park - Lily and Strangers,,Nous avons un professeur très gentil.,We have a very nice teacher.
Radio: Music and the Park - Lily and Strangers,,"Après l'école, je vais au parc.","After school, I go to the park."
Radio: Music and the Park - Lily and Strangers,,J'aime lire un livre au parc.,I like to read a book in the park.
Adventure: The Babysitter,,"Je veux du chocolat, Zari. J'aime le chocolat!","I want some chocolate, Zari. I like chocolate!"
Adventure: The Babysitter,,Je prends le métro pour aller à l'école.,I take the subway to go to school.
Adventure: The Babysitter,,"Le métro? Non, je veux du chocolat!","The subway? No, I want chocolate!"
Adventure: The Babysitter,,"Non, Junior. Tu veux une orange?","No, Junior. Do you want an orange?"
Adventure: The Babysitter,,"Oui, j'adore les oranges! Je veux manger l'orange et lire.","Yes, I love oranges! I want to eat the orange and read."
Adventure: The Babysitter,,Tu veux une orange et un livre.,You want an orange and a book.
Adventure: The Babysitter,,"Oui. Une orange et un livre. Et mon animal de compagnie, s'il te plaît!","Yes. An orange and a book. And my pet, please!"
Adventure: The Babysitter,,Son animal de compagnie!,His pet!
Adventure: The Babysitter,,"Une orange, un livre et son animal de compagnie...","An orange, a book and its pet..."
Adventure: The Babysitter,,De la laitue? Non...,Lettuce? No...
Adventure: The Babysitter,,Une orange!,An orange!
Adventure: The Babysitter,,Un livre!,A book!
Adventure: The Babysitter,,"J'aime manger et livre avec mon animal de compagnie, Praline! Merci!","I like to eat and read with my pet, Praline! Thank you!"
New words - Adventure,,lavabo,washbasin
New words - Adventure,,lit,bed
