category,color,word,meaning
Key Phrases - Describe your family,,Ce sont mes parents.,These are my parents.
Key Phrases - Describe your family,,Mes sœurs sont étudientes.,My sisters are students.
Key Phrases - Describe your family,,Mon père est amusant.,My father is funny.
Key Phrases - Describe your family,,Mes parents sont américains.,My parents are American.
Key Phrases - Describe your family,,Ma fille est intelligente.,My daughter is intelligent.
Tip - Adjectives,,La femme est contente.,The woman is happy.
Tip - Adjectives,,Les femmes sont contentes.,The women are happy.
Tip - J'aime mes parent!,,mon frère,my brother
Tip - J'aime mes parent!,,mes frères,my brothers
Tip - J'aime mes parent!,,ta sœur,your sister
Tip - J'aime mes parent!,,tes sœurs,your sisters
Tip - J'aime mes parent!,,sa voiture,his car
Tip - J'aime mes parent!,,ses voitures,his/her/its cars
Tip - J'aime mes parent!,,le garçon et ses parents,The boy and his parents
Story: A Big Family,,Une grande famille,A large family
Story: A Big Family,,Odile rencontre la famille de Mélissa.,Odile meets Mélissa's family.
Story: A Big Family,,Mélissa! Ma fille préférée!,Mélissa! My favorite daughter!
Story: A Big Family,,"MaMan, tu as une seule fille!","Mom, you have only one daughter!"
Story: A Big Family,,"Voici ma copine, Odile.","Here is my girlfriend, Odile."
Story: A Big Family,,Bonjour!,Hello!
Story: A Big Family,,"Odile, ça c'est mon frère Thomas! ","Odile, that's my brother Thomas!"
Story: A Big Family,,Salut!,Hi! / Bye!
Story: A Big Family,,Et ma grand-mère...,And my grandmother...
Story: A Big Family,,Bonjour!,Hello!
Story: A Big Family,,Voici mon père et mon frère David. ,Here is my father and my brother David.
Story: A Big Family,,Bonjour. Comment allez vous?,Hello. How are you?
Story: A Big Family,,"Mon grand-père, Dominique.","My grandfather, Dominique."
Story: A Big Family,,Bonjour! Tu as une grande famille!,Hello! You have a big family!
Story: A Big Family,,Mais j'ai une seule fille.,But I have only one daughter.
Story: A Big Family,,Maman.,"Mom (or Mum, Mommy, Mama)"
Story: A Big Family,,"Ah, oui! J'ai deux filles maintenant.","Ah, yes! I have two daughters now."
Story: A Big Family,,"Bienvenue dans la famille, Odie!","Welcome to the family, Odie!"
Story: A Big Family,,Merci beaucoup!,thank you very much
Radio: Living in Shadows - Lily and Strangers,,Bonjour. Je m'appelle Paul. J'ai deux sœurs.,Hello. My name is Paul. I have two sisters.
Radio: Living in Shadows - Lily and Strangers,,Mes sœurs sont intelligentes et amusantes.,My sisters are intelligent and fun.
Radio: Living in Shadows - Lily and Strangers,,Elles aiment les chats et les chiens.,They like cats and dogs.
Radio: Living in Shadows - Lily and Strangers,,Nous habitons en France. Mes sœurs sont contentes ici.,We live in France. My sisters are happy here.
Radio: Day at the Park - Late Nights with Lin,,"Bonjour, je m'appelle Emma. J'ai trois frères et ils sont intelligents.","Hello, my name is Emma. I have three brothers and they are intelligent."
Radio: Day at the Park - Late Nights with Lin,,Mes parents sont contents de mes frères.,My parents are happy with my brothers.
Radio: Day at the Park - Late Nights with Lin,,Nous habitons en France et nous aimons Paris.,We live in France and we love Paris.
Radio: Day at the Park - Late Nights with Lin,,Je vais au parc avec mes frères tous les jours.,I go to the park with my brothers every day.
Radio: Day at the Park - Late Nights with Lin,,C'est amusant avec mes frères au parc.,It's fun with my brothers at the park.
Radio: International Alliances - Lucy is Listening,,"Bonjour, Léo. Comment ça va?","Hello, Léo. How are you?"
Radio: International Alliances - Lucy is Listening,,"Salut, Emma. Ça va bien, merci. Et toi?","Hi, Emma. I'm doing well, thank you. And you?"
Radio: International Alliances - Lucy is Listening,,Ça va. Mes parents sont ici.,It's going well. My parents are here.
Radio: International Alliances - Lucy is Listening,,"Ah, ils sont en vacances?","Ah, are they on vacation?"
Radio: International Alliances - Lucy is Listening,,Oui mes parents sont américains et ils aiment la France.,Yes my parents are American and they love France.
Radio: International Alliances - Lucy is Listening,,C'est chouette. Tes frères sont avec eux?,It's great. Are your brothers with them?
Radio: International Alliances - Lucy is Listening,,Non mes frères sont à l'université.,"No, my brothers are at the university."
